Date;A;B;C
01/08;5.954;5.954;1280.07
02/08;5.954;5.966;1280.07
03/08;5.954;6.014;1280.07
04/08;5.954;6.032;1280.07
05/08;5.954;6.062;1308.88
06/08;5.954;6.086;1308.88
07/08;5.954;6.074;1321.02
08/08;5.954;6.074;1321.02
09/08;5.954;6.068;1321.02
10/08;5.954;6.062;1321.02
11/08;5.954;6.031;1321.02
12/08;6.05;6.019;1321.02
01/09;6.05;5.995;1321.02
02/09;6.05;6.019;1321.02
03/09;6.05;6.031;1321.02
04/09;6.05;6.043;1321.02
05/09;6.05;6.055;1321.02
06/09;6.05;6.062;1321.02
07/09;6.111;6.037;1337.7
08/09;6.111;6.067;1337.7
09/09;6.111;6.055;1337.7
10/09;6.111;6.061;1337.7
11/09;6.111;6.067;1337.7
12/09;6.111;6.086;1337.7
01/10;6.111;6.073;1343.77
02/10;6.111;6.110;1343.77
03/10;6.111;6.140;1343.77
04/10;6.111;6.159;1343.77
05/10;6.111;6.165;1343.77
06/10;6.111;6.165;1343.77
07/10;6.142;6.147;1343.77
08/10;6.142;6.159;1343.77
09/10;6.142;6.153;1343.77
10/10;6.142;6.159;1343.77
11/10;6.142;6.165;1343.77
12/10;6.142;6.196;1343.77
01/11;6.142;6.183;1365
02/11;6.142;6.214;1365
03/11;6.142;6.264;1365
04/11;6.142;6.283;1365
05/11;6.142;6.289;1365
06/11;6.142;6.295;1365
07/11;6.191;6.270;1365
08/11;6.191;6.302;1365
09/11;6.191;6.295;1365
10/11;6.191;6.308;1365
11/11;6.191;6.327;1365
12/11;6.191;6.352;1393.82
01/12;6.191;6.327;1398.37
02/12;6.191;6.352;1398.37
03/12;6.191;6.403;1398.37
04/12;6.191;6.409;1398.37
05/12;6.191;6.403;1398.37
06/12;6.191;6.403;1398.37
07/12;6.234;6.377;1425.67
08/12;6.234;6.422;1425.67
09/12;6.234;6.403;1425.67
10/12;6.234;6.415;1425.67
11/12;6.234;6.403;1425.67
12/12;6.234;6.422;1425.67
01/13;6.234;6.390;1430.22
02/13;6.234;6.409;1430.22
03/13;6.234;6.460;1430.22
04/13;6.234;6.454;1430.22
05/13;6.234;6.460;1430.22
06/13;6.234;6.473;1430.22
07/13;6.234;6.454;1430.22
08/13;6.234;6.486;1430.22
09/13;6.234;6.473;1430.22
10/13;6.234;6.466;1430.22
11/13;6.234;6.466;1430.22
12/13;6.234;6.486;1430.22
01/14;6.234;6.447;1445.38
02/14;6.234;6.486;1445.38
03/14;6.234;6.512;1445.38
04/14;6.234;6.512;1445.38
05/14;6.234;6.512;1445.38
06/14;6.234;6.512;1445.38
07/14;6.234;6.492;1445.38
08/14;6.234;6.518;1445.38
09/14;6.234;6.492;1445.38
10/14;6.234;6.492;1445.38
11/14;6.234;6.479;1445.38
12/14;6.234;6.485;1445.38
01/15;6.234;6.421;1457.52
02/15;6.234;6.465;1457.52
03/15;6.234;6.511;1457.52
04/15;6.234;6.517;1457.52
05/15;6.234;6.530;1457.52
06/15;6.234;6.524;1457.52
07/15;6.234;6.498;1457.52
08/15;6.234;6.517;1457.52
09/15;6.234;6.491;1457.52
10/15;6.234;6.498;1457.52
11/15;6.234;6.485;1457.52
12/15;6.234;6.498;1457.52
01/16;6.234;6.433;1466.62
02/16;6.234;6.452;1466.62
03/16;6.234;6.497;1466.62
04/16;6.234;6.504;1466.62
05/16;6.234;6.530;1466.62
06/16;6.234;6.536;1466.62
07/16;6.234;6.510;1466.62
08/16;6.234;6.529;1466.62
09/16;6.234;6.516;1466.62
10/16;6.234;6.516;1466.62
11/16;6.234;6.516;1466.62
12/16;6.234;6.536;1466.62
01/17;6.234;6.523;1480.27
02/17;6.234;6.529;1480.27
03/17;6.234;6.569;1480.27
04/17;6.234;6.575;1480.27
05/17;6.234;6.575;1480.27
06/17;6.234;6.575;1480.27
07/17;6.234;6.555;1480.27
08/17;6.234;6.588;1480.27
09/17;6.234;6.575;1480.27
10/17;6.234;6.582;1480.27
11/17;6.234;6.588;1480.27
12/17;6.234;6.608;1480.27
01/18;6.234;6.601;1498.47
02/18;6.234;6.601;1498.47
03/18;6.234;6.667;1498.47
04/18;6.234;6.681;1498.47
05/18;6.234;6.707;1498.47
06/18;6.234;6.707;1498.47
07/18;6.284;6.701;1498.47
08/18;6.284;6.734;1498.47
09/18;6.284;6.721;1498.47
10/18;6.284;6.727;1498.47
11/18;6.284;6.714;1498.47
12/18;6.284;6.714;1498.47
01/19;6.284;6.687;1521.22
02/19;6.284;6.687;1521.22
03/19;6.284;6.741;1521.22
04/19;6.284;6.761;1521.22
05/19;6.284;6.768;1521.22
06/19;6.284;6.781;1521.22
07/19;6.284;6.768;1521.22
08/19;6.284;6.801;1521.22
09/19;6.284;6.781;1521.22
10/19;6.284;6.781;1521.22
11/19;6.284;6.788;1521.22
12/19;6.284;6.815;1521.22
01/20;6.284;6.788;1539.42
02/20;6.284;6.788;1539.42
03/20;6.284;6.795;1539.42
04/20;6.284;6.795;1539.42
05/20;6.284;6.801;1539.42
06/20;6.284;6.808;1539.42
07/20;6.284;6.835;1539.42
08/20;6.284;6.828;1539.42
09/20;6.284;6.794;1539.42
10/20;6.284;6.794;1539.42
11/20;6.284;6.808;1539.42
12/20;6.284;6.822;1539.42
